"date" "web" "bask_vol" "ind" "web_ind" "latency" "space" "sail" "edge_b" "active" "rest_exp" "care_young" "walk"
"25/06/2019" 4 0.75 6 "4_6" 40 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 4 0.75 6 "4_6" 40 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 4 0.75 6 "4_6" 40 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 4 0.75 7 "4_7" 37 "midle_basket" 0 0 1 0 1 0
"25/06/2019" 4 0.75 7 "4_7" 37 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 4 0.75 7 "4_7" 37 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 4 0.75 8 "4_8" 38 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 4 0.75 10 "4_10" 90 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 4 0.75 10 "4_10" 90 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 4 0.75 12 "4_12" 26 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 4 0.75 12 "4_12" 26 "midle_basket" 0 0 1 0 0 1
"25/06/2019" 4 0.75 13 "4_13" 31 "midle_basket" 0 0 1 0 0 1
"25/06/2019" 5 0.2 1 "5_1" 54 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 5 0.2 1 "5_1" 54 "midle_basket" 0 0 0 1 0 0
"26/06/2019" 5 0.2 1 "5_1" 54 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 5 0.2 2 "5_2" 46 "edge_basket" 0 1 1 0 1 0
"25/06/2019" 5 0.2 2 "5_2" 46 "edge_basket" 0 1 0 0 0 0
"26/06/2019" 5 0.2 2 "5_2" 46 "edge_basket" 0 1 0 0 0 0
"25/06/2019" 5 0.2 3 "5_3" 24 "midle_basket" 0 0 0 0 0 0
"26/06/2019" 5 0.2 3 "5_3" 24 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 5 0.2 5 "5_5" 32 "edge_basket" 0 1 0 1 0 0
"25/06/2019" 5 0.2 5 "5_5" 32 "sail" 1 0 1 0 0 0
"26/06/2019" 5 0.2 5 "5_5" 32 "edge_basket" 0 1 1 0 1 0
"25/06/2019" 5 0.2 6 "5_6" 46 "edge_basket" 0 1 0 0 0 0
"26/06/2019" 5 0.2 6 "5_6" 46 "edge_basket" 0 1 1 0 1 0
"25/06/2019" 5 0.2 7 "5_7" 23 "midle_basket" 0 0 1 0 0 1
"25/06/2019" 5 0.2 8 "5_8" 10 "sail" 1 0 1 0 0 1
"25/06/2019" 5 0.2 9 "5_9" 25 "midle_basket" 0 0 0 1 0 0
"26/06/2019" 5 0.2 10 "5_10" 53 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 5 0.2 11 "5_11" 57 "midle_basket" 0 0 0 0 0 0
"25/06/2019" 5 0.2 11 "5_11" 57 "sail" 1 0 1 0 0 1
"25/06/2019" 5 0.2 13 "5_13" 21 "edge_basket" 0 1 1 0 0 1
"26/06/2019" 5 0.2 13 "5_13" 21 "edge_basket" 0 1 1 0 1 0
"28/06/2019" 6 0.15 1 "6_1" 206 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 6 0.15 2 "6_2" 150 "edge_basket" 0 1 1 0 0 1
"28/06/2019" 6 0.15 2 "6_2" 150 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 6 0.15 4 "6_4" 54 "edge_basket" 0 1 1 0 1 0
"28/06/2019" 6 0.15 4 "6_4" 54 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 6 0.15 5 "6_5" 27 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 6 0.15 5 "6_5" 27 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 6 0.15 6 "6_6" 113 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 6 0.15 6 "6_6" 113 "sail" 1 0 1 0 0 1
"27/06/2019" 6 0.15 7 "6_7" 80 "midle_basket" 0 0 1 0 0 1
"27/06/2019" 6 0.15 8 "6_8" 14 "edge_basket" 0 1 1 0 0 0
